country,points,rating,price,province,variety,type
Argentina,93,outstanding,25,Mendoza Province,Bordeaux-style Red Blend,red
Argentina,93,outstanding,27,Mendoza Province,Bordeaux-style Red Blend,red
Argentina,93,outstanding,28,Mendoza Province,Red Blend,red
Argentina,93,outstanding,30,Mendoza Province,Malbec,red
Argentina,92,outstanding,15,Mendoza Province,Red Blend,red
Argentina,92,outstanding,18,Mendoza Province,Malbec,red
Argentina,92,outstanding,19,Other,Malbec,red
Argentina,92,outstanding,20,Mendoza Province,Malbec,red
Argentina,92,outstanding,20,Mendoza Province,Malbec,red
Argentina,92,outstanding,20,Mendoza Province,Malbec,red
Argentina,92,outstanding,20,Mendoza Province,Malbec,red
Argentina,92,outstanding,20,Mendoza Province,Malbec,red
Argentina,92,outstanding,21,Mendoza Province,Malbec,red
Argentina,92,outstanding,22,Mendoza Province,Malbec,red
Argentina,92,outstanding,23,Mendoza Province,Cabernet Sauvignon,red
Argentina,92,outstanding,23,Mendoza Province,Malbec,red
Argentina,92,outstanding,23,Mendoza Province,Malbec,red
Argentina,92,outstanding,23,Mendoza Province,Malbec,red
Argentina,92,outstanding,25,Mendoza Province,Bonarda,red
Argentina,92,outstanding,25,Mendoza Province,Bordeaux-style Red Blend,red
Argentina,92,outstanding,25,Mendoza Province,Bordeaux-style Red Blend,red
Argentina,92,outstanding,25,Mendoza Province,Malbec,red
Argentina,92,outstanding,25,Mendoza Province,Malbec,red
Argentina,92,outstanding,25,Mendoza Province,Malbec,red
Argentina,92,outstanding,25,Mendoza Province,Red Blend,red
Argentina,92,outstanding,25,Mendoza Province,Red Blend,red
Argentina,92,outstanding,25,Mendoza Province,Red Blend,red
Argentina,92,outstanding,25,Other,Malbec,red
Argentina,92,outstanding,26,Mendoza Province,Bordeaux-style Red Blend,red
Argentina,92,outstanding,27,Mendoza Province,Cabernet Franc,red
Argentina,92,outstanding,27,Mendoza Province,Malbec,red
Argentina,92,outstanding,28,Mendoza Province,Bordeaux-style Red Blend,red
Argentina,92,outstanding,28,Mendoza Province,Malbec,red
Argentina,92,outstanding,29,Mendoza Province,Malbec,red
Argentina,92,outstanding,29,Mendoza Province,Malbec,red
Argentina,92,outstanding,29,Mendoza Province,Malbec,red
Argentina,92,outstanding,29,Mendoza Province,Malbec,red
Argentina,92,outstanding,29,Mendoza Province,Red Blend,red
Argentina,92,outstanding,29,Other,Cabernet Franc,red
Argentina,92,outstanding,30,Mendoza Province,Malbec,red
Argentina,92,outstanding,30,Mendoza Province,Red Blend,red
Argentina,92,outstanding,30,Mendoza Province,Red Blend,red
Argentina,92,outstanding,30,Mendoza Province,Red Blend,red
Argentina,92,outstanding,30,Mendoza Province,Red Blend,red
Argentina,92,outstanding,30,Mendoza Province,Red Blend,red
Argentina,91,outstanding,12,Mendoza Province,Malbec,red
Argentina,91,outstanding,12,Mendoza Province,Malbec,red
Argentina,91,outstanding,15,Mendoza Province,Malbec,red
Argentina,91,outstanding,16,Mendoza Province,Malbec,red
Argentina,91,outstanding,16,Mendoza Province,Malbec,red
Argentina,91,outstanding,16,Mendoza Province,Red Blend,red
Argentina,91,outstanding,17,Mendoza Province,Red Blend,red
Argentina,91,outstanding,17,Mendoza Province,Red Blend,red
Argentina,91,outstanding,18,Mendoza Province,Bordeaux-style Red Blend,red
Argentina,91,outstanding,18,Mendoza Province,Malbec,red
Argentina,91,outstanding,18,Mendoza Province,Malbec,red
Argentina,91,outstanding,18,Mendoza Province,Red Blend,red
Argentina,91,outstanding,18,Other,Malbec,red
Argentina,91,outstanding,18,Other,Malbec,red
Argentina,91,outstanding,19,Mendoza Province,Cabernet Sauvignon,red
Argentina,91,outstanding,19,Mendoza Province,Malbec,red
Argentina,91,outstanding,19,Mendoza Province,Malbec,red
Argentina,91,outstanding,20,Mendoza Province,Cabernet Franc,red
Argentina,91,outstanding,20,Mendoza Province,Cabernet Sauvignon,red
Argentina,91,outstanding,20,Mendoza Province,Malbec,red
Argentina,91,outstanding,20,Mendoza Province,Malbec,red
Argentina,91,outstanding,20,Mendoza Province,Malbec,red
Argentina,91,outstanding,20,Mendoza Province,Malbec,red
Argentina,91,outstanding,20,Mendoza Province,Malbec,red
Argentina,91,outstanding,20,Mendoza Province,Malbec,red
Argentina,91,outstanding,20,Mendoza Province,Malbec,red
Argentina,91,outstanding,21,Mendoza Province,Malbec,red
Argentina,91,outstanding,22,Mendoza Province,Bordeaux-style Red Blend,red
Argentina,91,outstanding,22,Mendoza Province,Malbec,red
Argentina,91,outstanding,23,Mendoza Province,Bordeaux-style Red Blend,red
Argentina,91,outstanding,23,Mendoza Province,Bordeaux-style Red Blend,red
Argentina,91,outstanding,23,Mendoza Province,Cabernet Sauvignon,red
Argentina,91,outstanding,23,Mendoza Province,Cabernet Sauvignon,red
Argentina,91,outstanding,23,Mendoza Province,Malbec,red
Argentina,91,outstanding,23,Mendoza Province,Red Blend,red
Argentina,91,outstanding,23,Other,Malbec,red
Argentina,91,outstanding,24,Mendoza Province,Cabernet Franc,red
Argentina,91,outstanding,24,Mendoza Province,Malbec,red
Argentina,91,outstanding,24,Mendoza Province,Malbec,red
Argentina,91,outstanding,24,Mendoza Province,Malbec,red
Argentina,91,outstanding,24,Mendoza Province,Red Blend,red
Argentina,91,outstanding,24,Mendoza Province,Red Blend,red
Argentina,91,outstanding,25,Mendoza Province,Bordeaux-style Red Blend,red
Argentina,91,outstanding,25,Mendoza Province,Cabernet Sauvignon,red
Argentina,91,outstanding,25,Mendoza Province,Cabernet Sauvignon,red
Argentina,91,outstanding,25,Mendoza Province,Malbec,red
Argentina,91,outstanding,25,Mendoza Province,Malbec,red
Argentina,91,outstanding,25,Mendoza Province,Malbec,red
Argentina,91,outstanding,25,Mendoza Province,Malbec,red
Argentina,91,outstanding,25,Mendoza Province,Malbec,red
Argentina,91,outstanding,25,Mendoza Province,Malbec,red
Argentina,91,outstanding,25,Mendoza Province,Malbec,red
Argentina,91,outstanding,25,Mendoza Province,Malbec,red
Argentina,91,outstanding,25,Mendoza Province,Red Blend,red
Argentina,91,outstanding,25,Mendoza Province,Red Blend,red
Argentina,91,outstanding,25,Mendoza Province,Red Blend,red
Argentina,91,outstanding,25,Mendoza Province,Syrah,red
Argentina,91,outstanding,26,Mendoza Province,Malbec,red
