country,points,rating,price,province,variety,type
Argentina,93,outstanding,25,Mendoza Province,Bordeaux-style Red Blend,red
Argentina,93,outstanding,27,Mendoza Province,Bordeaux-style Red Blend,red
Argentina,93,outstanding,28,Mendoza Province,Red Blend,red
Argentina,93,outstanding,30,Mendoza Province,Malbec,red
Argentina,92,outstanding,15,Mendoza Province,Red Blend,red
Argentina,92,outstanding,18,Mendoza Province,Malbec,red
Argentina,92,outstanding,19,Other,Malbec,red
Argentina,92,outstanding,20,Mendoza Province,Malbec,red
Argentina,92,outstanding,20,Mendoza Province,Malbec,red
Argentina,92,outstanding,20,Mendoza Province,Malbec,red
Australia,94,outstanding,19,South Australia,Riesling,white
Australia,93,outstanding,15,Australia Other,Red Blend,red
Australia,93,outstanding,29,Western Australia,Cabernet Sauvignon,red
Australia,93,outstanding,30,South Australia,Cabernet Sauvignon,red
Australia,93,outstanding,30,South Australia,Shiraz,red
Australia,93,outstanding,30,South Australia,Shiraz,red
Australia,93,outstanding,30,Western Australia,Shiraz,red
Australia,92,outstanding,15,Victoria,Sangiovese,red
Australia,92,outstanding,17,South Australia,Riesling,white
Australia,92,outstanding,18,South Australia,Mourvedre-Syrah,red
Austria,90,outstanding,25,Thermenregion,Austrian white blend,white
Austria,90,outstanding,25,Thermenregion,Pinot Noir,red
Austria,90,outstanding,25,Thermenregion,Pinot Noir,red
Austria,90,outstanding,25,Thermenregion,St. Laurent,red
Austria,90,outstanding,25,Wachau,Gruner Veltliner,white
Austria,90,outstanding,25,Wachau,Gruner Veltliner,white
Austria,90,outstanding,25,Wachau,Gruner Veltliner,white
Austria,90,outstanding,25,Wachau,Pinot Blanc,white
Austria,90,outstanding,25,Wachau,Pinot Blanc,white
Austria,90,outstanding,25,Wagram,Riesling,white
Bosnia and Herzegovina,88,very good,12,Mostar,Blatina,red
Bosnia and Herzegovina,85,very good,13,Mostar,Vranec,white
Brazil,88,very good,15,Serra Ga�_cha,Merlot,red
Brazil,88,very good,20,Serra Ga�_cha,Chardonnay,white
Brazil,88,very good,20,Vale Trentino,Moscatel,white
Brazil,87,very good,20,Vale Trentino,Sparkling Blend,white
Brazil,87,very good,21,Brazil,Red Blend,red
Brazil,87,very good,25,Pinto Bandeira,Pinot Noir,red
Brazil,86,very good,12,Serra Ga�_cha,Tannat,red
Brazil,86,very good,12,Serra Ga�_cha,Tannat,red
Brazil,86,very good,20,Vale dos Vinhedos,Champagne Blend,white
Brazil,86,very good,23,Brazil,Champagne Blend,white
Bulgaria,91,outstanding,23,Danube River Plains,Chardonnay,white
Bulgaria,91,outstanding,25,Thracian Valley,Bordeaux-style Red Blend,red
Bulgaria,91,outstanding,30,Thracian Valley,Bordeaux-style Red Blend,red
Bulgaria,90,outstanding,11,Thracian Valley,Cabernet Sauvignon,red
Bulgaria,90,outstanding,11,Thracian Valley,Cabernet Sauvignon,red
Bulgaria,90,outstanding,11,Thracian Valley,Cabernet Sauvignon,red
Bulgaria,90,outstanding,11,Thracian Valley,Cabernet Sauvignon,red
Bulgaria,90,outstanding,11,Thracian Valley,Pinot Noir,red
Bulgaria,90,outstanding,11,Thracian Valley,Pinot Noir,red
Bulgaria,90,outstanding,12,Thracian Valley,Chardonnay,white
Canada,93,outstanding,18,Ontario,Riesling,white
Canada,93,outstanding,25,Ontario,Riesling,white
Canada,93,outstanding,27,British Columbia,Merlot,red
Canada,93,outstanding,30,British Columbia,Chardonnay,white
Canada,93,outstanding,30,British Columbia,Chardonnay,white
Canada,92,outstanding,16,Ontario,Riesling,white
Canada,92,outstanding,18,British Columbia,Gewurztraminer,white
Canada,92,outstanding,18,British Columbia,Gewurztraminer,white
Canada,92,outstanding,20,British Columbia,Moscato,white
Canada,92,outstanding,21,British Columbia,Merlot,red
Chile,92,outstanding,22,Rapel Valley,Red Blend,red
Chile,92,outstanding,23,Colchagua Valley,Syrah,red
Chile,92,outstanding,23,Marchigue,Syrah,red
Chile,92,outstanding,24,Colchagua Valley,Merlot,red
Chile,92,outstanding,24,Colchagua Valley,Red Blend,red
Chile,92,outstanding,24,Maipo Valley,Cabernet Sauvignon,red
Chile,92,outstanding,25,Colchagua Valley,Cabernet Sauvignon,red
Chile,92,outstanding,25,Loncomilla Valley,Carignan,red
Chile,92,outstanding,25,Maule Valley,Red Blend,red
Chile,92,outstanding,26,Cachapoal Valley,Red Blend,red
Chile,92,outstanding,26,Colchagua Valley,Cabernet Sauvignon,red
Croatia,84,good,13,Peljesac,Plavac Mali,red
Croatia,84,good,13,Podunavlje,Blaufr�_nkisch,red
Croatia,84,good,13,Podunavlje,Pinot Noir,red
Croatia,84,good,16,Peljesac,Plavac Mali,red
Croatia,83,good,19,North Dalmatia,White Blend,white
Croatia,83,good,21,Peljesac,Rose,rose
Croatia,82,good,16,Istria,Malvasia,white
Croatia,81,good,18,Istria,Teran,red
Cyprus,89,very good,17,Commandaria,Red Blend,red
Cyprus,89,very good,20,Commandaria,Xinisteri,white
Cyprus,89,very good,21,Lemesos,Xynisteri,white
Cyprus,88,very good,14,Pafos,White Blend,white
Cyprus,88,very good,14,Pafos,White Blend,white
Cyprus,87,very good,11,Cyprus,White Blend,white
Cyprus,87,very good,15,Cyprus,White Blend,white
Cyprus,87,very good,18,Kathikas,Red Blend,red
Cyprus,85,very good,16,Pafos,Xynisteri,white
Czech Republic,88,very good,15,Moravia,Riesling,white
Czech Republic,88,very good,15,Moravia,St. Laurent,red
Czech Republic,88,very good,18,Moravia,Cabernet Moravia,red
Czech Republic,87,very good,15,Moravia,Rivaner,white
Czech Republic,87,very good,15,Moravia,Sauvignon Blanc,white
Czech Republic,85,very good,18,Moravia,Cabernet Moravia,red
Czech Republic,85,very good,25,Moravia,Welschriesling,white
Czech Republic,84,good,16,Moravia,Sauvignon Blanc,white
England,92,outstanding,27,England,Sparkling Blend,white
England,90,outstanding,27,England,Pinot Noir,red
England,89,very good,25,England,Sparkling Blend,white
England,89,very good,25,England,Sparkling Blend,white
France,96,classic,28,Bordeaux,Bordeaux-style White Blend,white
France,96,classic,29,Alsace,Riesling,white
France,95,classic,20,Southwest France,Red Blend,red
France,95,classic,25,Alsace,Riesling,white
France,95,classic,25,Southwest France,Petit Manseng,white
France,95,classic,26,Alsace,Muscat,white
